issuer_id,sector,year,from_rating,to_rating,upgraded,downgraded,defaulted,notches_moved
I00001,Consumer,2015,A,A,0,0,0,0
I00002,Industrials,2015,A,A,0,0,0,0
I00003,Industrials,2015,BBB,BB,0,1,0,1
I00004,Industrials,2015,BBB,BBB,0,0,0,0
I00005,Real_Estate,2015,A,A,0,0,0,0
I00006,Financials,2015,B,B,0,0,0,0
I00007,Utilities,2015,BB,BB,0,0,0,0
I00008,Healthcare,2015,BB,BBB,1,0,0,-1
I00009,Consumer,2015,BBB,BBB,0,0,0,0
I00010,Real_Estate,2015,AAA,AAA,0,0,0,0
I00011,Healthcare,2015,BBB,BBB,0,0,0,0
I00012,Retail,2015,BB,BB,0,0,0,0
I00013,Consumer,2015,CCC,CCC,0,0,0,0
I00014,Telecom,2015,BB,BB,0,0,0,0
I00015,Telecom,2015,B,B,0,0,0,0
I00016,Healthcare,2015,B,CCC,0,1,0,1
I00017,Retail,2015,CCC,CCC,0,0,0,0
I00018,Consumer,2015,B,BB,1,0,0,-1
I00019,Utilities,2015,A,A,0,0,0,0
I00020,Healthcare,2015,CCC,CCC,0,0,0,0
I00021,Financials,2015,BB,BB,0,0,0,0
I00022,Consumer,2015,B,B,0,0,0,0
I00023,Financials,2015,CCC,D,0,0,1,1
I00024,Financials,2015,B,D,0,0,1,2
I00025,Retail,2015,AAA,AAA,0,0,0,0
I00026,Telecom,2015,B,D,0,0,1,2
I00027,Healthcare,2015,B,B,0,0,0,0
I00028,Telecom,2015,BBB,BBB,0,0,0,0
I00029,Energy,2015,B,BB,1,0,0,-1
I00030,Utilities,2015,B,B,0,0,0,0
I00031,Utilities,2015,A,A,0,0,0,0
I00032,Healthcare,2015,B,B,0,0,0,0
I00033,Energy,2015,BBB,BBB,0,0,0,0
I00034,Financials,2015,CCC,CCC,0,0,0,0
I00035,Industrials,2015,CCC,D,0,0,1,1
I00036,Real_Estate,2015,A,A,0,0,0,0
I00037,Retail,2015,BB,BB,0,0,0,0
I00038,Telecom,2015,A,A,0,0,0,0
I00039,Energy,2015,B,B,0,0,0,0
I00040,Utilities,2015,BBB,BBB,0,0,0,0
I00041,Energy,2015,BB,B,0,1,0,1
I00042,Financials,2015,BB,BB,0,0,0,0
I00043,Healthcare,2015,BBB,BBB,0,0,0,0
I00044,Telecom,2015,BB,BB,0,0,0,0
I00045,Technology,2015,AA,AA,0,0,0,0
I00046,Energy,2015,AA,AA,0,0,0,0
I00047,Energy,2015,AA,AA,0,0,0,0
I00048,Healthcare,2015,BB,BB,0,0,0,0
I00049,Telecom,2015,BBB,BBB,0,0,0,0
I00050,Technology,2015,BB,BB,0,0,0,0
I00051,Financials,2015,BB,BB,0,0,0,0
I00052,Consumer,2015,BBB,A,1,0,0,-1
I00053,Industrials,2015,BBB,BBB,0,0,0,0
I00054,Industrials,2015,BBB,B,0,1,0,2
I00055,Financials,2015,AAA,A,0,1,0,2
I00056,Industrials,2015,BBB,BBB,0,0,0,0
I00057,Utilities,2015,B,B,0,0,0,0
I00058,Real_Estate,2015,BBB,BBB,0,0,0,0
I00059,Consumer,2015,B,B,0,0,0,0
I00060,Healthcare,2015,BB,BB,0,0,0,0
I00061,Energy,2015,BB,B,0,1,0,1
I00062,Real_Estate,2015,B,B,0,0,0,0
I00063,Healthcare,2015,BB,B,0,1,0,1
I00064,Healthcare,2015,BB,B,0,1,0,1
I00065,Energy,2015,B,CCC,0,1,0,1
I00066,Industrials,2015,CCC,B,1,0,0,-1
I00067,Consumer,2015,BBB,BBB,0,0,0,0
I00068,Technology,2015,BBB,BBB,0,0,0,0
I00069,Real_Estate,2015,A,A,0,0,0,0
I00070,Utilities,2015,CCC,CCC,0,0,0,0
I00071,Real_Estate,2015,BBB,BBB,0,0,0,0
I00072,Financials,2015,AA,AA,0,0,0,0
I00073,Energy,2015,B,B,0,0,0,0
I00074,Energy,2015,B,B,0,0,0,0
I00075,Retail,2015,BB,BB,0,0,0,0
I00076,Energy,2015,BB,BBB,1,0,0,-1
I00077,Consumer,2015,BBB,BBB,0,0,0,0
I00078,Utilities,2015,AAA,AAA,0,0,0,0
I00079,Retail,2015,CCC,CCC,0,0,0,0
I00080,Financials,2015,B,B,0,0,0,0
I00081,Utilities,2015,B,B,0,0,0,0
I00082,Utilities,2015,A,A,0,0,0,0
I00083,Industrials,2015,BBB,BBB,0,0,0,0
I00084,Retail,2015,BB,BB,0,0,0,0
I00085,Industrials,2015,A,A,0,0,0,0
I00086,Consumer,2015,AA,A,0,1,0,1
I00087,Technology,2015,CCC,D,0,0,1,1
I00088,Financials,2015,BB,BB,0,0,0,0
I00089,Retail,2015,B,D,0,0,1,2
I00090,Utilities,2015,BBB,BBB,0,0,0,0
I00091,Industrials,2015,BBB,B,0,1,0,2
I00092,Financials,2015,AA,AA,0,0,0,0
I00093,Energy,2015,BBB,B,0,1,0,2
I00094,Retail,2015,AA,AA,0,0,0,0
I00095,Utilities,2015,CCC,CCC,0,0,0,0
I00096,Industrials,2015,AA,A,0,1,0,1
I00097,Retail,2015,BB,BB,0,0,0,0
I00098,Energy,2015,AA,AA,0,0,0,0
I00099,Technology,2015,A,A,0,0,0,0
I00100,Telecom,2015,BBB,BBB,0,0,0,0
I00101,Retail,2015,AA,AA,0,0,0,0
I00102,Utilities,2015,BB,B,0,1,0,1
I00103,Consumer,2015,AA,AA,0,0,0,0
I00104,Consumer,2015,BBB,B,0,1,0,2
