origination_month,originated_loans,originated_ead,eventual_defaults,eventual_default_rate,avg_model_probability,avg_existing_pd,avg_credit_score
2015-01,482,1697995933.82,59,0.12240663900414937,0.12802760165975105,0.02347249585062241,714.2842323651453
2015-02,474,1434182702.49,52,0.10970464135021098,0.13226473628691984,0.018877301687763713,714.662447257384
2015-03,459,1296565609.42,53,0.11546840958605664,0.13564407407407408,0.021293459694989105,713.5228758169935
2015-04,483,1632091947.7,57,0.11801242236024845,0.12909380124223602,0.0207949917184265,717.7619047619048
2015-05,480,1378786110.91,59,0.12291666666666666,0.13384264791666667,0.024408937500000002,712.8395833333333
2015-06,462,1442541938.94,52,0.11255411255411256,0.15908361038961039,0.01942751298701299,716.7207792207793
2015-07,472,1654842042.22,57,0.12076271186440678,0.16766843855932204,0.023411758474576272,714.2033898305085
2015-08,452,1481442443.15,67,0.14823008849557523,0.18358985840707964,0.03043598451327434,708.816371681416
2015-09,453,1730971818.71,66,0.1456953642384106,0.16544556291390727,0.02122913024282561,718.2847682119206
2015-10,432,1446619800.62,56,0.12962962962962962,0.13507765046296297,0.01887686111111111,714.9097222222222
2015-11,434,1482938691.78,70,0.16129032258064516,0.17266888248847925,0.02369874193548387,713.4377880184331
2015-12,502,1754576905.61,64,0.12749003984063745,0.13113278087649402,0.021599171314741036,714.1215139442231
2016-01,475,1632543915.33,61,0.12842105263157894,0.16130846315789474,0.017618427368421053,717.6294736842106
2016-02,459,1672787141.98,69,0.1503267973856209,0.1476683071895425,0.02244228322440087,710.6427015250545
2016-03,442,1315153400.7,72,0.16289592760180996,0.14292561312217195,0.023650848416289595,715.1018099547512
2016-04,486,1548632546.18,71,0.14609053497942387,0.13144629423868312,0.01862772839506173,714.320987654321
2016-05,468,1839829825.86,74,0.1581196581196581,0.13642315384615383,0.02001086111111111,715.1794871794872
2016-06,491,1780551514.55,82,0.1670061099796334,0.17031478207739306,0.01948654786150713,716.9164969450102
2016-07,453,1463698770.01,77,0.16997792494481237,0.17147863796909493,0.021222741721854302,713.4238410596026
2016-08,446,1336968854.8,66,0.14798206278026907,0.13846259192825114,0.01895246412556054,720.3766816143498
2016-09,426,1364125613.96,62,0.14553990610328638,0.13975007981220658,0.02049870422535211,717.2746478873239
2016-10,483,1373453836.59,64,0.13250517598343686,0.13070786956521738,0.019551372670807452,714.055900621118
2016-11,471,1683448968.72,71,0.15074309978768577,0.13562725053078556,0.019047828025477706,714.9660297239915
2016-12,473,1370763492.22,85,0.17970401691331925,0.17437837420718816,0.022349668076109937,712.1014799154334
2017-01,480,1629015182.23,75,0.15625,0.17688737916666666,0.02508387291666667,712.5145833333333
2017-02,462,1423596292.49,95,0.20562770562770563,0.18422544805194804,0.02303971645021645,713.3679653679653
2017-03,490,1664083197.43,81,0.1653061224489796,0.173272593877551,0.021719863265306123,714.065306122449
2017-04,436,1527269326.56,61,0.13990825688073394,0.17110917889908256,0.019831577981651378,716.1146788990826
2017-05,488,1533124392.28,103,0.21106557377049182,0.20208899385245901,0.022590303278688523,712.8934426229508
2017-06,474,1724869113.15,84,0.17721518987341772,0.1926703016877637,0.022854651898734177,715.5801687763714
2017-07,445,1406442356.92,92,0.20674157303370785,0.19651497303370785,0.020151937078651688,720.1640449438203
2017-08,459,1907798188.31,97,0.2113289760348584,0.19962749673202612,0.01858221568627451,718.4183006535948
2017-09,478,1611786593.14,94,0.19665271966527198,0.19867408577405857,0.020612236401673638,714.6485355648535
2017-10,460,1547816012.33,95,0.20652173913043478,0.19281346086956522,0.020007004347826086,715.2847826086957
