risk_decile,loan_count,defaults,default_rate,avg_probability,total_ead,portfolio_default_rate,lift_vs_test_average
1,1051,463,0.44053282588011416,0.3681746270218839,2801713615.08,0.078089735487948,5.641366603785
2,912,172,0.18859649122807018,0.2341292269736842,3076329423.94,0.078089735487948,2.4151252408477846
3,1221,87,0.07125307125307126,0.18977079197379199,3911456801.4900002,0.078089735487948,0.9124511795032028
4,1162,43,0.03700516351118761,0.1709355748709122,3832718356.31,0.078089735487948,0.4738799956224568
5,1235,30,0.024291497975708502,0.1559614890688259,4400936279.21,0.078089735487948,0.31107158737216545
6,1588,25,0.015743073047858942,0.1413252638539043,5120107349.4,0.078089735487948,0.20160233543483644
7,1743,19,0.010900745840504877,0.12617817613310384,5887158667.12,0.078089735487948,0.13959255685002606
8,1010,14,0.013861386138613862,0.11260320297029704,3306251760.83,0.078089735487948,0.1775058661935558
9,798,9,0.011278195488721804,0.09735417794486215,2537052003.59,0.078089735487948,0.1444260941370768
10,357,3,0.008403361344537815,0.08159717366946778,1115182060.01,0.078089735487948,0.10761159955311604
