sector,loan_count,total_ead,defaults,observed_default_rate,avg_model_probability,term_risk_loss_proxy,existing_expected_loss,avg_credit_score,default_rate_rank,exposure_rank,exposure_share
Financials,5023,30166694281.04,741,0.14752140155285687,0.16734242225761498,2469205138.57,316107002.19,714.4441568783595,1.0,1.0,0.18290578748602274
Energy,5132,20935495607.76,742,0.1445830085736555,0.16909193082618862,1795532042.83,247405336.68,714.0323460639127,2.0,4.0,0.1269354631592567
Industrials,5012,15712153602.53,722,0.14405426975259378,0.1679714830407023,1480913476.99,196375775.55,716.2958898643257,3.0,6.0,0.09526545404672768
Retail,4951,3959380562.16,696,0.14057766107856998,0.16670310058574025,425716957.13,59674821.98,714.346596647142,4.0,10.0,0.0240063963565901
Real_Estate,4862,25305432304.19,678,0.13944878650761003,0.1675331306046894,1893923826.71,261792214.25,714.7139037433155,5.0,2.0,0.15343113103980918
Consumer,5043,5049910318.7,691,0.13702161411858022,0.16562441165972636,511784442.8,69044213.04,714.1088637715645,6.0,9.0,0.03061846336130179
Technology,4959,12773050110.74,676,0.13631780600927607,0.16762687678967533,1412295775.24,214071821.53,714.8909054244807,7.0,7.0,0.07744517073492171
Telecom,5077,18910385182.74,685,0.1349221981485129,0.1656366178845775,1665576551.33,205262657.23,716.468189875911,8.0,5.0,0.11465687493929257
Utilities,4959,22069987323.25,662,0.1334946561806816,0.1661368576325872,1744377026.6,235836807.89000002,715.0820729985884,9.0,3.0,0.1338140789825518
Healthcare,4982,10047744439.08,657,0.1318747490967483,0.16577604154957848,896174002.14,118215403.03,715.4397832195905,10.0,8.0,0.06092117989352577
