model_name,split,threshold,precision,recall,f1,specificity,approval_rate,true_negative,false_positive,false_negative,true_positive,default_loss_exposure,rejected_good_ead,opportunity_cost_rate_assumption,total_cost_proxy
Logistic Regression,validation,0.01,0.0821351545650611,1.0,0.1518020262414881,0.0,0.0,0,5107,0,457,0.0,16973954342.87,0.02,339479086.8574
Logistic Regression,validation,0.02,0.0821499191083947,1.0,0.1518272425249169,0.0001958096729978,0.0001797268152408,1,5106,0,457,0.0,16970339681.740002,0.02,339406793.6348
Logistic Regression,validation,0.03,0.083090909090909,1.0,0.1534329360416317,0.0125318190718621,0.0115025161754134,64,5043,0,457,0.0,16732757217.47,0.02,334655144.34940004
Logistic Regression,validation,0.04,0.0859668924003009,1.0,0.1583232288238351,0.0485607989034658,0.0445722501797267,248,4859,0,457,0.0,16073478358.22,0.02,321469567.16440004
Logistic Regression,validation,0.05,0.0889980353634577,0.9912472647702408,0.1633315305570578,0.0920305463089876,0.0851905104241552,470,4637,4,453,2440741.039773,15295160437.89,0.02,308343949.797573
Logistic Regression,validation,0.06,0.0931869952371091,0.9846827133479212,0.170261066969353,0.1425494419424319,0.1320992092020129,728,4379,7,450,7428487.996263001,14483784091.72,0.02,297104169.8306631
Logistic Regression,validation,0.07,0.0982417582417582,0.9781181619256016,0.1785500299580587,0.1965929116898374,0.1822429906542055,1004,4103,10,447,10188310.671177,13454117715.3,0.02,279270664.977177
Logistic Regression,validation,0.08,0.1023310023310023,0.9606126914660832,0.1849589214240573,0.2459369492852947,0.2289719626168224,1256,3851,18,439,29628700.431546003,12628675319.53,0.02,282202206.82214594
Logistic Regression,validation,0.09,0.1070029382957884,0.9562363238512036,0.1924686192468619,0.2858821225768553,0.2659956865564342,1460,3647,20,437,30108066.640645005,11756640703.62,0.02,265240880.71304503
Logistic Regression,validation,0.1,0.1105978958172953,0.9431072210065644,0.1979788700045934,0.3213236733894654,0.2996046010064701,1641,3466,26,431,51407250.196398005,11113908720.96,0.02,273685424.615598
Logistic Regression,validation,0.11,0.1158123135340385,0.9343544857768052,0.206081081081081,0.3616604660270217,0.3373472322070453,1847,3260,30,427,54836348.271966,10396901092.02,0.02,262774370.112366
Logistic Regression,validation,0.12,0.1190340909090909,0.9168490153172868,0.210711591651999,0.3927942040336792,0.3673616103522645,2006,3101,38,419,64104944.04528601,9899815677.85,0.02,262101257.602286
Logistic Regression,validation,0.13,0.1243632004794725,0.9080962800875274,0.2187664733790195,0.4278441355002937,0.4002516175413372,2185,2922,42,415,68651855.85642801,9314821109.41,0.02,254948278.044628
Logistic Regression,validation,0.14,0.130050505050505,0.901531728665208,0.2273103448275862,0.4603485412179361,0.430625449317038,2351,2756,45,412,75519645.23201,8735493870.61,0.02,250229522.64421
Logistic Regression,validation,0.15,0.136516476126429,0.888402625820569,0.2366656951326144,0.4971607597415312,0.4654924514737598,2539,2568,51,406,84717649.258578,8133331530.85,0.02,247384279.875578
Logistic Regression,validation,0.16,0.1458559536735432,0.8818380743982495,0.2503105590062112,0.5378891717250832,0.5034148094895758,2747,2360,54,403,129394596.84166698,7349195359.71,0.02,276378504.035867
Logistic Regression,validation,0.17,0.1543233811554866,0.8708971553610503,0.2621870882740448,0.5729391031916977,0.5364845434938893,2926,2181,59,398,135669171.64055198,6791384537.41,0.02,271496862.388752
Logistic Regression,validation,0.18,0.1630794701986755,0.862144420131291,0.2742777584406544,0.6040728411983552,0.5657800143781453,3085,2022,63,394,138253399.964809,6341688902.43,0.02,265087178.01340905
Logistic Regression,validation,0.19,0.1706888986397542,0.8512035010940919,0.2843567251461988,0.6299197180340709,0.5904025880661394,3217,1890,68,389,151821360.624696,5954445225.97,0.02,270910265.144096
Logistic Regression,validation,0.2,0.1806663538244955,0.8424507658643327,0.2975270479134467,0.6581163109457607,0.6170021567217829,3361,1746,72,385,167419189.732875,5593888065.77,0.02,279296951.048275
Logistic Regression,validation,0.21,0.1875311720698254,0.8227571115973742,0.3054427294882209,0.6810260426865087,0.6396477354421279,3478,1629,81,376,176833029.45128998,5301923231.47,0.02,282871494.08069
Logistic Regression,validation,0.22,0.1979722518676627,0.811816192560175,0.3183183183183183,0.7056980614842373,0.6631919482386772,3604,1503,86,371,179924497.854726,4812881312.55,0.02,276182124.105726
Logistic Regression,validation,0.23,0.2094211123723042,0.8074398249452954,0.3325822442541685,0.7272371255140004,0.6833213515456507,3714,1393,88,369,186483435.925238,4541186972.129999,0.02,277307175.367838
Logistic Regression,validation,0.24,0.218335343787696,0.7921225382932167,0.3423167848699763,0.7462306637947914,0.7020129403306974,3811,1296,95,362,197145804.187606,4291242713.57,0.02,282970658.45900595
Logistic Regression,validation,0.25,0.2263556116015132,0.7855579868708972,0.351443954968184,0.7597415312316429,0.7149532710280374,3880,1227,98,359,201734739.782842,4011043201.98,0.02,281955603.822442
Logistic Regression,validation,0.26,0.2354903268845897,0.7724288840262582,0.3609406952965235,0.7756021147444684,0.7305895039539899,3961,1146,104,353,217869734.185478,3816644436.44,0.02,294202622.91427803
Logistic Regression,validation,0.27,0.2410651716888577,0.7527352297592997,0.3651804670912951,0.7879381241433326,0.7435298346513299,4024,1083,113,344,231006336.657518,3661762332.31,0.02,304241583.30371803
Logistic Regression,validation,0.28,0.2509197939661516,0.7461706783369803,0.3755506607929515,0.8006657528881926,0.7557512580877067,4089,1018,116,341,232238493.718872,3521970171.8500004,0.02,302677897.155872
Logistic Regression,validation,0.29,0.2605687932359723,0.7417943107221007,0.3856655290102389,0.8116310945760721,0.766175413371675,4145,962,118,339,236598756.82865703,3337671121.12,0.02,303352179.251057
Logistic Regression,validation,0.3,0.2686084142394822,0.7264770240700219,0.3922031896042528,0.8229880556099471,0.7778576563623293,4203,904,125,332,246684012.082406,3101062220.2,0.02,308705256.486406
Logistic Regression,validation,0.31,0.2792096219931271,0.7111597374179431,0.4009870450339297,0.8357156843548071,0.7907979870596693,4268,839,132,325,261049731.430879,2909608726.92,0.02,319241905.969279
Logistic Regression,validation,0.32,0.2883046237533998,0.6958424507658644,0.4076923076923077,0.8462894066966908,0.8017613227893602,4322,785,139,318,300714022.230407,2619421214.53,0.02,353102446.521007
Logistic Regression,validation,0.33,0.293119698397738,0.6805251641137856,0.4097496706192358,0.8531427452516154,0.8093098490294752,4357,750,146,311,304664549.128984,2536230473.09,0.02,355389158.59078395
Logistic Regression,validation,0.34,0.296551724137931,0.6586433260393874,0.4089673913043478,0.8601918934795378,0.8175772825305536,4393,714,156,301,319953689.14101094,2421086673.28,0.02,368375422.60661095
