vintage,months_on_books,n_loans_originated,n_active,n_defaulted_cumulative,cumulative_default_rate,marginal_default_rate,avg_pd_at_origination,avg_credit_score
2015Q1,1,1415,1415,3,0.00212,0.00212,0.021226,714.2
2015Q1,2,1415,1412,4,0.002827,0.000708,0.021226,714.2
2015Q1,3,1415,1411,4,0.002827,0.0,0.021226,714.2
2015Q1,4,1415,1411,5,0.003534,0.000709,0.021226,714.2
2015Q1,5,1415,1410,10,0.007067,0.003546,0.021226,714.2
2015Q1,6,1415,1405,13,0.009187,0.002135,0.021226,714.2
2015Q1,7,1415,1402,16,0.011307,0.00214,0.021226,714.2
2015Q1,8,1415,1399,19,0.013428,0.002144,0.021226,714.2
2015Q1,9,1415,1396,21,0.014841,0.001433,0.021226,714.2
2015Q1,10,1415,1394,27,0.019081,0.004304,0.021226,714.2
2015Q1,11,1415,1388,29,0.020495,0.001441,0.021226,714.2
2015Q1,12,1415,1386,31,0.021908,0.001443,0.021226,714.2
2015Q1,13,1415,1324,34,0.024028,0.002266,0.021226,714.2
2015Q1,14,1415,1321,35,0.024735,0.000757,0.021226,714.2
2015Q1,15,1415,1320,38,0.026855,0.002273,0.021226,714.2
2015Q1,16,1415,1317,40,0.028269,0.001519,0.021226,714.2
2015Q1,17,1415,1315,41,0.028975,0.00076,0.021226,714.2
2015Q1,18,1415,1314,45,0.031802,0.003044,0.021226,714.2
2015Q1,19,1415,1310,50,0.035336,0.003817,0.021226,714.2
2015Q1,20,1415,1305,52,0.036749,0.001533,0.021226,714.2
2015Q1,21,1415,1303,52,0.036749,0.0,0.021226,714.2
2015Q1,22,1415,1303,54,0.038163,0.001535,0.021226,714.2
2015Q1,23,1415,1301,57,0.040283,0.002306,0.021226,714.2
2015Q1,24,1415,1298,58,0.040989,0.00077,0.021226,714.2
2015Q1,25,1415,1159,64,0.04523,0.005177,0.021226,714.2
2015Q1,26,1415,1153,64,0.04523,0.0,0.021226,714.2
2015Q1,27,1415,1153,66,0.046643,0.001735,0.021226,714.2
2015Q1,28,1415,1151,67,0.04735,0.000869,0.021226,714.2
2015Q1,29,1415,1150,70,0.04947,0.002609,0.021226,714.2
2015Q1,30,1415,1147,71,0.050177,0.000872,0.021226,714.2
2015Q1,31,1415,1146,72,0.050883,0.000873,0.021226,714.2
2015Q1,32,1415,1145,73,0.05159,0.000873,0.021226,714.2
2015Q1,33,1415,1144,74,0.052297,0.000874,0.021226,714.2
2015Q1,34,1415,1143,78,0.055124,0.0035,0.021226,714.2
2015Q1,35,1415,1139,82,0.057951,0.003512,0.021226,714.2
2015Q1,36,1415,1135,82,0.057951,0.0,0.021226,714.2
2015Q1,37,1415,838,83,0.058657,0.001193,0.021226,714.2
2015Q1,38,1415,837,84,0.059364,0.001195,0.021226,714.2
2015Q1,39,1415,836,86,0.060777,0.002392,0.021226,714.2
2015Q1,40,1415,834,87,0.061484,0.001199,0.021226,714.2
2015Q1,41,1415,833,87,0.061484,0.0,0.021226,714.2
2015Q1,42,1415,833,89,0.062898,0.002401,0.021226,714.2
2015Q1,43,1415,831,90,0.063604,0.001203,0.021226,714.2
2015Q1,44,1415,830,93,0.065724,0.003614,0.021226,714.2
2015Q1,45,1415,827,94,0.066431,0.001209,0.021226,714.2
2015Q1,46,1415,826,95,0.067138,0.001211,0.021226,714.2
2015Q1,47,1415,825,95,0.067138,0.0,0.021226,714.2
2015Q1,48,1415,825,96,0.067845,0.001212,0.021226,714.2
2015Q1,49,1415,502,97,0.068551,0.001992,0.021226,714.2
2015Q1,50,1415,501,98,0.069258,0.001996,0.021226,714.2
2015Q1,51,1415,500,98,0.069258,0.0,0.021226,714.2
2015Q1,52,1415,500,98,0.069258,0.0,0.021226,714.2
2015Q1,53,1415,500,99,0.069965,0.002,0.021226,714.2
2015Q1,54,1415,499,100,0.070671,0.002004,0.021226,714.2
2015Q1,55,1415,498,100,0.070671,0.0,0.021226,714.2
2015Q1,56,1415,498,100,0.070671,0.0,0.021226,714.2
2015Q1,57,1415,498,101,0.071378,0.002008,0.021226,714.2
2015Q1,58,1415,497,102,0.072085,0.002012,0.021226,714.2
2015Q1,59,1415,496,102,0.072085,0.0,0.021226,714.2
2015Q1,60,1415,496,104,0.073498,0.004032,0.021226,714.2
2015Q2,1,1425,1425,4,0.002807,0.002807,0.021569,715.8
2015Q2,2,1425,1421,11,0.007719,0.004926,0.021569,715.8
2015Q2,3,1425,1414,12,0.008421,0.000707,0.021569,715.8
2015Q2,4,1425,1413,13,0.009123,0.000708,0.021569,715.8
2015Q2,5,1425,1412,15,0.010526,0.001416,0.021569,715.8
2015Q2,6,1425,1410,15,0.010526,0.0,0.021569,715.8
2015Q2,7,1425,1410,16,0.011228,0.000709,0.021569,715.8
2015Q2,8,1425,1409,19,0.013333,0.002129,0.021569,715.8
2015Q2,9,1425,1406,20,0.014035,0.000711,0.021569,715.8
2015Q2,10,1425,1405,22,0.015439,0.001423,0.021569,715.8
2015Q2,11,1425,1403,24,0.016842,0.001426,0.021569,715.8
2015Q2,12,1425,1401,25,0.017544,0.000714,0.021569,715.8
