sector,loans,total_ead,defaults,default_rate,average_credit_score,average_existing_pd,average_model_probability,existing_expected_loss
Financials,5023,30166694281.04,741,0.14752140155285687,714.4441568783595,0.022308152100338444,0.16734241786156825,316107002.19
Energy,5132,20935495607.76,742,0.1445830085736555,714.0323460639127,0.02316088289166017,0.16909193360691563,247405336.68
Industrials,5012,15712153602.53,722,0.14405426975259378,716.2958898643257,0.021914964684756583,0.16797148025112874,196375775.55
Retail,4951,3959380562.16,696,0.14057766107856998,714.346596647142,0.022869415067663098,0.16670310543884065,59674821.98
Real_Estate,4862,25305432304.19,678,0.13944878650761003,714.7139037433155,0.022656287124640063,0.16753313223409894,261792214.25
Consumer,5043,5049910318.7,691,0.13702161411858022,714.1088637715645,0.02152363137021614,0.1656244130906586,69044213.04
Technology,4959,12773050110.74,676,0.13631780600927607,714.8909054244807,0.023574627949183306,0.16762686911636235,214071821.53
Telecom,5077,18910385182.74,685,0.1349221981485129,716.468189875911,0.0216962964349025,0.1656366130809222,205262657.23
Utilities,4959,22069987323.25,662,0.1334946561806816,715.0820729985884,0.022074914902198026,0.1661368627910728,235836807.89000002
Healthcare,4982,10047744439.08,657,0.1318747490967483,715.4397832195905,0.02285575913287836,0.16577604541093222,118215403.03
