date,n_active_loans,total_ead,total_el,total_rwa,el_rate,avg_pd,avg_lgd,var_99,cvar_995,sector_hhi,new_defaults,gdp_growth,unemployment,policy_rate,credit_spread_bps
2015-01-01,482,1697995933.82,25747639.48,341156223.98,0.015164,0.023472,0.5378,59991999.99,75440583.68,0.1312,0,2.591,5.319,3.0,154.0
2015-02-01,956,3132178636.31,40212538.41,532816135.09,0.012839,0.021194,0.5407,93695214.5,117822737.54,0.1282,1,2.864,5.01,3.0,141.2
2015-03-01,1415,4428744245.73,52984497.92,702044598.79,0.011964,0.021226,0.5437,123453880.15,155244578.91,0.1245,1,2.866,4.962,3.0,139.9
2015-04-01,1898,6060836193.43,71435598.55,946521681.67,0.011786,0.021117,0.5422,166444944.62,209306303.75,0.1259,2,2.574,5.096,3.0,145.2
2015-05-01,2378,7439622304.34,88125985.71,1167669310.93,0.011845,0.021781,0.5433,205333546.7,258209138.13,0.125,0,2.586,5.261,3.0,147.4
2015-06-01,2840,8882164243.28,102200208.0,1354152756.48,0.011506,0.021398,0.5449,238126484.64,299446609.44,0.1243,8,2.32,5.303,3.0,138.0
2015-07-01,3312,10537006285.5,120029214.91,1590387098.08,0.011391,0.021685,0.545,279668070.74,351685599.69,0.1242,8,2.601,5.28,3.0,135.7
2015-08-01,3764,12018448728.65,142813101.18,1892273591.16,0.011883,0.022736,0.5454,332754525.75,418442386.46,0.1249,7,2.387,5.45,3.0,133.9
2015-09-01,4217,13749420547.36,161988163.51,2146343166.73,0.011781,0.022574,0.5454,377432420.98,474625319.08,0.1244,11,2.27,5.374,3.0,137.8
2015-10-01,4649,15196040347.98,175054216.11,2319468364.19,0.01152,0.022231,0.5456,407876323.54,512908853.2,0.1256,4,2.402,5.417,3.0,140.4
2015-11-01,5083,16678979039.76,196758280.39,2607047215.61,0.011797,0.022356,0.5467,458446793.31,576501761.54,0.1246,9,3.055,5.336,3.0,135.3
2015-12-01,5585,18433555945.37,218048861.91,2889147422.4,0.011829,0.022288,0.5465,508053848.25,638883165.4,0.1237,5,2.755,5.411,3.0,143.8
2016-01-01,6060,20066099860.7,232214563.08,3076842963.33,0.011572,0.021922,0.5469,541059931.98,680388669.82,0.1241,11,2.695,5.265,3.0,135.8
